Iteration,Time,TimeStep,Diff.Hf,Diff.Tw,Diff.Mice,MiceTotal
1.0000000000e+00,1.5707960000e-03,1.5710000000e-03,2.1530000000e-08,5.7710000000e+00,2.3710000000e-03,3.1970000000e-06
2.0000000000e+00,4.0381970000e-03,2.4670000000e-03,2.1530000000e-08,7.6990000000e-06,2.4050000000e-09,8.2180000000e-06
3.0000000000e+00,7.9139820000e-03,3.8760000000e-03,2.1530000000e-08,2.7490000000e-05,8.5870000000e-09,1.6110000000e-05
4.0000000000e+00,1.4002050000e-02,6.0880000000e-03,2.1530000000e-08,5.8580000000e-05,1.8300000000e-08,2.8500000000e-05
5.0000000000e+00,2.3565170000e-02,9.5630000000e-03,2.1530000000e-08,1.0740000000e-04,3.3560000000e-08,4.7960000000e-05
6.0000000000e+00,3.8586870000e-02,1.5020000000e-02,2.1520000000e-08,1.8420000000e-04,5.7540000000e-08,7.8530000000e-05
7.0000000000e+00,6.2182910000e-02,2.3600000000e-02,2.1500000000e-08,3.0470000000e-04,9.5300000000e-08,1.2660000000e-04
8.0000000000e+00,9.9247490000e-02,3.7060000000e-02,2.1450000000e-08,4.9440000000e-04,1.5490000000e-07,2.0200000000e-04
9.0000000000e+00,1.5746840000e-01,5.8220000000e-02,2.1330000000e-08,6.2330000000e-04,2.4490000000e-07,3.2050000000e-04
1.0000000000e+01,2.4892160000e-01,9.1450000000e-02,2.1040000000e-08,8.6670000000e-04,3.6420000000e-07,5.0690000000e-04
1.0000000000e+02,5.1142000000e+00,5.1010000000e-02,8.3010000000e-09,2.0800000000e-03,1.0680000000e-06,1.2600000000e-02
2.0000000000e+02,1.0215000000e+01,5.1010000000e-02,1.1480000000e-08,1.6220000000e-03,3.4610000000e-07,3.0320000000e-02
3.0000000000e+02,1.5247220000e+01,4.5620000000e-02,1.7790000000e-08,1.2200000000e-03,3.5610000000e-07,5.2630000000e-02
4.0000000000e+02,1.9276870000e+01,3.8350000000e-02,2.0570000000e-08,1.0300000000e-03,3.7810000000e-07,7.3340000000e-02
5.0000000000e+02,2.3104680000e+01,3.8260000000e-02,1.6670000000e-08,7.7650000000e-04,3.1780000000e-07,9.4700000000e-02
6.0000000000e+02,2.6930680000e+01,3.8260000000e-02,4.6190000000e-09,4.9890000000e-04,2.1180000000e-07,1.1700000000e-01
7.0000000000e+02,3.0756610000e+01,3.8260000000e-02,4.3710000000e-09,3.3190000000e-04,1.4020000000e-07,1.3990000000e-01
8.0000000000e+02,3.4582530000e+01,3.8260000000e-02,4.1250000000e-09,2.9240000000e-04,1.2530000000e-07,1.6300000000e-01
9.0000000000e+02,3.8408430000e+01,3.8260000000e-02,4.9230000000e-09,3.3890000000e-04,1.9050000000e-07,1.8660000000e-01
1.0000000000e+03,4.2234340000e+01,3.8260000000e-02,2.9830000000e-09,3.1060000000e-04,1.9930000000e-07,2.1050000000e-01
1.0000000000e+00,4.2272590000e+01,3.8260000000e-02,3.6370000000e-09,1.2600000000e-03,8.7350000000e-07,2.1070000000e-01
2.0000000000e+00,4.2310850000e+01,3.8260000000e-02,3.6290000000e-09,1.3120000000e-03,8.3400000000e-07,2.1100000000e-01
3.0000000000e+00,4.2349110000e+01,3.8260000000e-02,3.6210000000e-09,1.6230000000e-03,1.0080000000e-06,2.1120000000e-01
4.0000000000e+00,4.2387370000e+01,3.8260000000e-02,3.6120000000e-09,1.7090000000e-03,1.0640000000e-06,2.1140000000e-01
5.0000000000e+00,4.2425630000e+01,3.8260000000e-02,3.6020000000e-09,1.2930000000e-03,1.2220000000e-06,2.1170000000e-01
6.0000000000e+00,4.2463890000e+01,3.8260000000e-02,3.5920000000e-09,1.3600000000e-03,1.1790000000e-06,2.1190000000e-01
7.0000000000e+00,4.2502150000e+01,3.8260000000e-02,3.5810000000e-09,1.2560000000e-03,1.0100000000e-06,2.1220000000e-01
8.0000000000e+00,4.2540410000e+01,3.8260000000e-02,3.5690000000e-09,1.3720000000e-03,1.0660000000e-06,2.1240000000e-01
9.0000000000e+00,4.2578670000e+01,3.8260000000e-02,3.5580000000e-09,1.2500000000e-03,9.1320000000e-07,2.1260000000e-01
1.0000000000e+01,4.2616930000e+01,3.8260000000e-02,3.5470000000e-09,1.3770000000e-03,7.9100000000e-07,2.1290000000e-01
1.0000000000e+02,4.6060240000e+01,3.8260000000e-02,3.0100000000e-09,3.7620000000e-04,2.6800000000e-07,2.3470000000e-01
2.0000000000e+02,4.9886140000e+01,3.8260000000e-02,2.3680000000e-09,3.0890000000e-04,2.2570000000e-07,2.5930000000e-01
3.0000000000e+02,5.3712040000e+01,3.8260000000e-02,1.4790000000e-09,3.2830000000e-04,2.4550000000e-07,2.8410000000e-01
4.0000000000e+02,5.7537940000e+01,3.8260000000e-02,7.4070000000e-10,2.1200000000e-04,1.4100000000e-07,3.0920000000e-01
5.0000000000e+02,6.1363850000e+01,3.8260000000e-02,4.1690000000e-10,1.2050000000e-04,7.3810000000e-08,3.3430000000e-01
6.0000000000e+02,6.5189750000e+01,3.8260000000e-02,2.4190000000e-10,7.2560000000e-05,4.1520000000e-08,3.5940000000e-01
7.0000000000e+02,6.9015650000e+01,3.8260000000e-02,1.2540000000e-10,4.8050000000e-05,2.2480000000e-08,3.8450000000e-01
8.0000000000e+02,7.2841550000e+01,3.8260000000e-02,6.0770000000e-11,2.9960000000e-05,1.2340000000e-08,4.0970000000e-01
9.0000000000e+02,7.6667450000e+01,3.8260000000e-02,3.8270000000e-11,3.8840000000e-06,6.1670000000e-09,4.3490000000e-01
1.0000000000e+03,8.0493360000e+01,3.8260000000e-02,2.9210000000e-11,5.1290000000e-06,1.7810000000e-09,4.6000000000e-01
1.1000000000e+03,8.4319260000e+01,3.8260000000e-02,1.6140000000e-11,3.7700000000e-06,1.3040000000e-09,4.8520000000e-01
1.2000000000e+03,8.8145160000e+01,3.8260000000e-02,1.0150000000e-11,1.1860000000e-06,4.1360000000e-10,5.1030000000e-01
1.3000000000e+03,9.1971060000e+01,3.8260000000e-02,5.7270000000e-12,3.1800000000e-07,1.1680000000e-10,5.3550000000e-01
1.4000000000e+03,9.5796970000e+01,3.8260000000e-02,1.9180000000e-12,1.1040000000e-07,4.5710000000e-11,5.6060000000e-01
1.5000000000e+03,9.9622870000e+01,3.8260000000e-02,3.7670000000e-13,5.7070000000e-08,2.5050000000e-11,5.8580000000e-01
1.6000000000e+03,1.0344880000e+02,3.8260000000e-02,1.3960000000e-13,3.4000000000e-08,1.5030000000e-11,6.1090000000e-01
1.7000000000e+03,1.0727470000e+02,3.8260000000e-02,8.0030000000e-14,2.0710000000e-08,9.1290000000e-12,6.3610000000e-01
1.8000000000e+03,1.1110060000e+02,3.8260000000e-02,4.9330000000e-14,1.2690000000e-08,5.5750000000e-12,6.6120000000e-01
1.9000000000e+03,1.1492650000e+02,3.8260000000e-02,3.1140000000e-14,7.8330000000e-09,3.4300000000e-12,6.8640000000e-01
2.0000000000e+03,1.1875240000e+02,3.8260000000e-02,1.9930000000e-14,4.8770000000e-09,2.1300000000e-12,7.1160000000e-01
2.1000000000e+03,1.2257830000e+02,3.8260000000e-02,1.2870000000e-14,3.0660000000e-09,1.3360000000e-12,7.3670000000e-01
2.2000000000e+03,1.2640420000e+02,3.8260000000e-02,8.3610000000e-15,1.9460000000e-09,8.4660000000e-13,7.6190000000e-01
2.3000000000e+03,1.3023010000e+02,3.8260000000e-02,5.4620000000e-15,1.2460000000e-09,5.4120000000e-13,7.8700000000e-01
2.4000000000e+03,1.3405600000e+02,3.8260000000e-02,3.5830000000e-15,8.0400000000e-10,3.4880000000e-13,8.1220000000e-01
2.5000000000e+03,1.3788190000e+02,3.8260000000e-02,2.3570000000e-15,5.2210000000e-10,2.2630000000e-13,8.3730000000e-01
2.6000000000e+03,1.4170780000e+02,3.8260000000e-02,1.5550000000e-15,3.4090000000e-10,1.4760000000e-13,8.6250000000e-01
2.7000000000e+03,1.4553370000e+02,3.8260000000e-02,1.0280000000e-15,2.2340000000e-10,9.6700000000e-14,8.8760000000e-01
2.8000000000e+03,1.4935960000e+02,3.8260000000e-02,6.8000000000e-16,1.4700000000e-10,6.3570000000e-14,9.1280000000e-01
2.9000000000e+03,1.5318550000e+02,3.8260000000e-02,4.5050000000e-16,9.6900000000e-11,4.1900000000e-14,9.3790000000e-01
3.0000000000e+03,1.5701140000e+02,3.8260000000e-02,2.9870000000e-16,6.4020000000e-11,2.7670000000e-14,9.6310000000e-01
3.1000000000e+03,1.6083730000e+02,3.8260000000e-02,1.9820000000e-16,4.2350000000e-11,1.8300000000e-14,9.8830000000e-01
3.2000000000e+03,1.6466320000e+02,3.8260000000e-02,1.3160000000e-16,2.8050000000e-11,1.2120000000e-14,1.0130000000e+00
3.3000000000e+03,1.6848910000e+02,3.8260000000e-02,8.7360000000e-17,1.8600000000e-11,8.0330000000e-15,1.0390000000e+00
3.4000000000e+03,1.7231500000e+02,3.8260000000e-02,5.8040000000e-17,1.2330000000e-11,5.3280000000e-15,1.0640000000e+00
3.5000000000e+03,1.7614090000e+02,3.8260000000e-02,3.8560000000e-17,8.1860000000e-12,3.5350000000e-15,1.0890000000e+00
3.6000000000e+03,1.7996680000e+02,3.8260000000e-02,2.5630000000e-17,5.4340000000e-12,2.3460000000e-15,1.1140000000e+00
3.7000000000e+03,1.8379270000e+02,3.8260000000e-02,1.7040000000e-17,3.6090000000e-12,1.5580000000e-15,1.1390000000e+00
3.8000000000e+03,1.8761860000e+02,3.8260000000e-02,1.1330000000e-17,2.3970000000e-12,1.0350000000e-15,1.1640000000e+00
3.9000000000e+03,1.9144450000e+02,3.8260000000e-02,7.5370000000e-18,1.5930000000e-12,6.8710000000e-16,1.1890000000e+00
4.0000000000e+03,1.9527040000e+02,3.8260000000e-02,5.0150000000e-18,1.0580000000e-12,4.5640000000e-16,1.2150000000e+00
4.1000000000e+03,1.9909630000e+02,3.8260000000e-02,3.3370000000e-18,7.0320000000e-13,3.0320000000e-16,1.2400000000e+00
4.2000000000e+03,2.0292220000e+02,3.8260000000e-02,2.2220000000e-18,4.6740000000e-13,2.0150000000e-16,1.2650000000e+00
4.3000000000e+03,2.0674810000e+02,3.8260000000e-02,1.4790000000e-18,3.1070000000e-13,1.3390000000e-16,1.2900000000e+00
4.4000000000e+03,2.1057400000e+02,3.8260000000e-02,9.8570000000e-19,2.0650000000e-13,8.8940000000e-17,1.3150000000e+00
4.5000000000e+03,2.1439990000e+02,3.8260000000e-02,6.5700000000e-19,1.3730000000e-13,5.9100000000e-17,1.3400000000e+00
4.6000000000e+03,2.1822580000e+02,3.8260000000e-02,4.3810000000e-19,9.1330000000e-14,3.9280000000e-17,1.3660000000e+00
4.7000000000e+03,2.2205170000e+02,3.8260000000e-02,2.9240000000e-19,6.0750000000e-14,2.6100000000e-17,1.3910000000e+00
4.8000000000e+03,2.2587760000e+02,3.8260000000e-02,1.9530000000e-19,4.0410000000e-14,1.7350000000e-17,1.4160000000e+00
4.9000000000e+03,2.2970350000e+02,3.8260000000e-02,1.3050000000e-19,2.6890000000e-14,1.1530000000e-17,1.4410000000e+00
5.0000000000e+03,2.3352940000e+02,3.8260000000e-02,8.7310000000e-20,1.7900000000e-14,7.6670000000e-18,1.4660000000e+00
5.1000000000e+03,2.3735530000e+02,3.8260000000e-02,5.8470000000e-20,1.1920000000e-14,5.0970000000e-18,1.4910000000e+00
5.2000000000e+03,2.4118120000e+02,3.8260000000e-02,3.9210000000e-20,7.9390000000e-15,3.3890000000e-18,1.5170000000e+00
5.3000000000e+03,2.4500710000e+02,3.8260000000e-02,2.6330000000e-20,5.2900000000e-15,2.2540000000e-18,1.5420000000e+00
5.4000000000e+03,2.4883300000e+02,3.8260000000e-02,1.7710000000e-20,3.5270000000e-15,1.4990000000e-18,1.5670000000e+00
5.5000000000e+03,2.5265900000e+02,3.8260000000e-02,1.1930000000e-20,2.3530000000e-15,9.9730000000e-19,1.5920000000e+00
5.6000000000e+03,2.5648490000e+02,3.8260000000e-02,8.0520000000e-21,1.5710000000e-15,6.6360000000e-19,1.6170000000e+00
