metric,case,rmse,mae,nrmse_percent,correlation
MaxCCS,TH2446,0.00000000,0.00000000,0.000000,1.00000000
MaxCCS,TH2434,6.72145224,6.22029590,70.043583,-0.75619599
MaxCCS,TH2459,5.92202518,5.19479051,59.538784,-0.61177335
MaxCCS,TG2409,13.41909411,12.17411329,69.091880,-0.93692013
MaxCCS,TG2411,1.00000000,1.00000000,5.537375,1.00000000
MaxCCS,TG2415,11.43509504,10.00160420,63.320404,-0.81659050
MeanCCS,TH2446,0.00000000,0.00000000,0.000000,1.00000000
MeanCCS,TH2434,4.67154907,3.83901538,62.149763,-0.63438153
MeanCCS,TH2459,4.69074203,3.87958302,62.405104,-0.60007512
MeanCCS,TG2409,11.54136019,10.19890989,63.908834,-0.88068414
MeanCCS,TG2411,1.00000000,1.00000000,5.537375,1.00000000
MeanCCS,TG2415,11.41558306,9.95658342,63.212359,-0.84433665
MinCCS,TH2446,0.00000000,0.00000000,0.000000,1.00000000
MinCCS,TH2434,4.68076993,3.96889730,62.808893,-0.73198193
MinCCS,TH2459,4.66378006,3.88633646,62.580914,-0.69863570
MinCCS,TG2409,11.49930262,10.15344595,63.675945,-0.89208617
MinCCS,TG2411,1.00000000,1.00000000,5.537375,1.00000000
MinCCS,TG2415,11.41610535,9.95622897,63.215251,-0.87123786
